SF_Ratio_Pred,Blowdown_Loss_Min,Blowdown_Loss_Max,Enthalpy_Loss_Min,Enthalpy_Loss_Max,FD_Fan_Out_Min,FD_Fan_Out_Max,FeedWater_Temp_Min,FeedWater_Temp_Max,Fuel_Flow_Min,Fuel_Flow_Max,Fuel_Flow_Total_Min,Fuel_Flow_Total_Max,Stack_Loss_Min,Stack_Loss_Max,Stack_Temp_Min,Stack_Temp_Max,Steam_Flow_Min,Steam_Flow_Max
16.6,0.1,0.3,1.1,1.5,54,85,66,96,0,1807,1454.916,2925.991,9.2,24.6,165,211,770,7000
14.9,0.1,0.3,1.2,1.5,54,61,69,98,0,447,1301.014,2807.579,8.7,17.9,188,219,4570,6895
0.5,0,0,0.6,1.2,54,63,31,53,0,680,1929.301,2737.946,2.1,13.5,72,170,0,0
0.6,0,0,1.3,1.6,55,86,28,96,240,2317,1892.342,2088.611,5.8,18.4,175,229,0,4483
17.1,0,0.3,1,1.5,54,63,65,98,0,0,1722.985,2522.524,13.4,34.7,123,213,0,7000
0.7,0,0,1.1,1.4,55,77,27,96,0,1007,1929.768,2738.06,10.2,17.6,153,214,0,4466
16.4,0.1,0.2,1.3,1.5,55,86,86,97,228,1702,1454.879,2139.095,9.9,15.2,195,210,5095,7000
14.8,0.1,0.1,1.3,1.5,63,68,92,101,563,634,1310.675,1749.52,8.7,9.7,205,220,3329,6974
15.4,0.2,0.2,1.4,1.5,56,63,66,73,0,706,2091.695,2552.289,11.8,13.9,192,217,4345,7000
15,0.1,0.2,1.1,1.5,54,77,65,98,0,1044,1304.017,2597.984,8.4,25,152,218,2323,7000
19.3,0.1,0.2,1.2,1.6,54,79,82,102,0,1059,2087.736,3025.897,9.9,28,160,231,856,7000
15.9,0.1,0.2,1.3,1.5,54,63,67,94,0,703,1929.301,2094.801,11.2,14.2,187,205,2329,7000
16.9,0.2,0.3,0.9,1.5,56,86,24,92,390,1558,2094.938,2597.984,8.3,17.5,98,215,0,7000
0.3,0,0,1,1.4,56,81,28,106,0,601,1723.542,2522.849,6.2,17.8,138,193,0,494
17,0.1,0.2,1.4,1.7,55,76,84,100,296,983,1315.205,2956.469,8.4,13.5,207,243,2613,6555
17.4,0.2,0.3,1.4,1.5,55,76,63,96,0,759,1299.245,2597.879,9.2,23.1,198,218,3367,6904
15.2,0.1,0.1,1.4,1.4,63,63,92,92,573,573,1304.009,1304.009,9.1,9.1,218,218,4541,4541
16.3,0.2,0.2,1.5,1.5,63,63,78,78,0,0,2096.096,2096.096,11.8,11.8,212,212,7000,7000
16,0.1,0.1,1.3,1.4,54,86,93,95,0,1705,1304.07,2718.194,9.4,14.8,184,211,2223,5699
17.3,0.1,0.1,1.4,1.4,54,56,94,96,0,384,1454.937,2735.093,12.4,15.3,196,212,2851,6314
15.6,0.1,0.1,1.5,1.5,55,55,98,98,228,228,1325.857,1325.857,11.4,11.4,232,232,7000,7000
18.7,0.2,0.2,1.4,1.5,54,56,88,95,82,384,1929.208,2171.408,8.7,14.4,207,219,2839,7000
18.2,0.2,0.2,1.4,1.5,54,86,76,80,0,1665,2095.52,2214.064,10,12,198,202,6201,7000
0.9,0,0,1.1,1.3,81,86,31,96,973,1709,1723.506,1958.836,6.1,9.5,149,197,0,3994
1,0,0,1.2,1.2,55,55,28,28,240,240,2088.551,2088.551,17.7,17.7,169,169,0,0
